Lesson schema OK
LESSON_JSON_SCHEMA has 3 top-level keys
=== 10b-derive-tv-lessons-nw: 26 song(s) ===

[1/26] [ok                ] alumina-nightmare  verses 9/11  vocab 30/37  coverage 69%
[2/26] [ok                ] blue-bird-ikimonogakari  verses 13/33  vocab 28/60  coverage 44%
[3/26] [ok                ] crossing-field-lisa  verses 7/25  vocab 16/78  coverage 32%
[4/26] [ok                ] distance-long-shot-party  verses 10/31  vocab 10/37  coverage 43%
[5/26] [ok                ] for-you-azu  verses 9/42  vocab 16/55  coverage 37%
[6/26] [ok                ] go-flow  verses 3/62  vocab 0/55  coverage 7%
[7/26] [ok                ] great-escape-cinema-staff  verses 5/20  vocab 21/57  coverage 39%
[8/26] [ok                ] guren-does  verses 8/20  vocab 40/72  coverage 46%
[9/26] [ok                ] harmonia-rythem  verses 11/37  vocab 3/32  coverage 29%
[10/26] [ok                ] haruka-kanata-asian-kung-fu-generation  verses 8/21  vocab 19/39  coverage 39%
[11/26] [ok                ] heroes-brian-the-sun  verses 9/23  vocab 35/55  coverage 53%
[12/26] [ok                ] heros-come-back-nobodyknows  verses 19/22  vocab 13/15  coverage 68%
[13/26] [ok                ] i-can-hear-dish  verses 20/57  vocab 37/73  coverage 39%
[14/26] [ok                ] mayonaka-no-orchestra-aqua-timez  verses 6/28  vocab 33/108  coverage 30%
[15/26] [ok                ] mezamero-yasei-matchy-with-question  verses 6/30  vocab 21/83  coverage 29%
[16/26] [ok                ] moshimo-daisuke  verses 6/27  vocab 31/63  coverage 44%
[17/26] [ok                ] period-chemistry  verses 3/13  vocab 24/68  coverage 42%
[18/26] [ok                ] place-to-try-totalfat  verses 16/39  vocab 22/44  coverage 42%
[19/26] [ok                ] remember-flow  verses 4/11  vocab 24/54  coverage 47%
[20/26] [ok                ] rocks-hound-dog  verses 4/19  vocab 15/48  coverage 31%
[21/26] [ok                ] scenario-saboten  verses 15/32  vocab 43/72  coverage 50%
[22/26] [ok                ] sonna-kimi-konna-boku-thinking-dogs  verses 9/34  vocab 33/78  coverage 30%
[23/26] [ok                ] speed-analogfish  verses 10/24  vocab 19/38  coverage 47%
[24/26] [ok                ] spinning-world-diana-garnet  verses 9/43  vocab 28/76  coverage 37%
[25/26] [ok                ] the-world-nightmare  verses 5/21  vocab 12/41  coverage 36%
[26/26] [ok                ] tsunaida-te-lilb  verses 6/44  vocab 33/109  coverage 25%

=== Summary ===
  ok: 26
