# slug	verse_number	surface	locales_broken
again-yui	7	この想いを消してしまうには	en,pt-BR,es
again-yui	8	まだ人生長いでしょ (I'm on the way)	en,pt-BR,es
again-yui	9	懐かしくなる	en,pt-BR,es
again-yui	10	こんな痛みも歓迎じゃん	en,pt-BR,es
again-yui	14	分かってくれます様に	en,pt-BR,es
again-yui	15	そっと目を閉じたんだ	en,pt-BR,es
again-yui	16	見たくないものまで見えんだもん	en,pt-BR,es
again-yui	17	いらない噂にちょっと	en,pt-BR,es
again-yui	18	初めて聞く発言どっち	en,pt-BR,es
again-yui	19	向かい合ったら友達だって	en,pt-BR,es
again-yui	20	嘘はやめてね	en,pt-BR,es
again-yui	21	深いハートが苛立つ様に	en,pt-BR,es
again-yui	22	体ん中燃えているんだ	en,pt-BR,es
again-yui	23	本当は期待してんの	en,pt-BR,es
again-yui	24	現実ってやつか	en,pt-BR,es
again-yui	25	何の為に生きてるんだって	en,pt-BR,es
again-yui	26	叫びたくなるよ	en,pt-BR,es
again-yui	27	聞こえていますか	en,pt-BR,es
again-yui	28	無難になんてやってらんないから	en,pt-BR,es
again-yui	29	帰る場所もないの	en,pt-BR,es
again-yui	30	優しさにはいつも感謝してる	en,pt-BR,es
again-yui	31	だから強くなりたい (I'm on the way)	en,pt-BR,es
again-yui	32	進む為に	en,pt-BR,es
again-yui	33	敵も味方も歓迎じゃん	en,pt-BR,es
again-yui	36	この想いを消してしまうには	en,pt-BR,es
again-yui	37	まだ人生長いでしょ	en,pt-BR,es
again-yui	38	やり残してることやり直してみたいから	en,pt-BR,es
again-yui	39	もう一度行こうか	en,pt-BR,es
again-yui	40	叶えるために生きてるんだって	en,pt-BR,es
again-yui	41	叫びたくなるよ	en,pt-BR,es
again-yui	42	聞こえていますか	en,pt-BR,es
again-yui	43	無難になんてやってらんないから	en,pt-BR,es
again-yui	44	帰る場所もないの	en,pt-BR,es
again-yui	45	優しさにはいつも感謝してる	en,pt-BR,es
again-yui	46	だから強くなりたい (I'm on the way)	en,pt-BR,es
again-yui	47	懐かしくなる	en,pt-BR,es
again-yui	48	こんな痛みも歓迎じゃん	en,pt-BR,es
again-yui	52	目を覚ませ目を覚ませ	en,pt-BR,es
diver-nico-touches-the-walls	2	息もできないくらい澱んだ人の群れ	en,pt-BR,es
diver-nico-touches-the-walls	3	僕はいつからここに潜り込んだんだ	en,pt-BR,es
diver-nico-touches-the-walls	5	それじゃとてもまともでいられない	en,pt-BR,es
diver-nico-touches-the-walls	6	すべてを僕が敵にまわしても	en,pt-BR,es
diver-nico-touches-the-walls	7	光をかすかに感じてるんだ	en,pt-BR,es
diver-nico-touches-the-walls	8	そこまで行けそうなら	en,pt-BR,es
diver-nico-touches-the-walls	10	生きているんだって 確かめたくて	en,pt-BR,es
diver-nico-touches-the-walls	11	深い海底を目指して もう一度呼吸をしよう	en,pt-BR,es
diver-nico-touches-the-walls	12	頭の中の地図をひっくり返したら	en,pt-BR,es
diver-nico-touches-the-walls	13	足りないものだらけで独り怯えた昨夜	en,pt-BR,es
diver-nico-touches-the-walls	14	僕は強いんだってずっと思ってた	en,pt-BR,es
diver-nico-touches-the-walls	15	誰よりも強いってずっと思ってた	en,pt-BR,es
diver-nico-touches-the-walls	16	迷子になった白鳥が	en,pt-BR,es
diver-nico-touches-the-walls	17	星の夜空に浮かんでいた	en,pt-BR,es
diver-nico-touches-the-walls	18	慰めのように降り出した雨	en,pt-BR,es
diver-nico-touches-the-walls	19	だけどどうやら僕らはなれそうもない	en,pt-BR,es
diver-nico-touches-the-walls	20	星が星なら僕は僕さ	en,pt-BR,es
diver-nico-touches-the-walls	21	どこまで行けそうかなwow	en,pt-BR,es
diver-nico-touches-the-walls	22	重たい錨を背負い込んで	en,pt-BR,es
diver-nico-touches-the-walls	23	ほんの少し祈りを吐きだして	en,pt-BR,es
diver-nico-touches-the-walls	24	まるで合図のように降り出した雨	en,pt-BR,es
diver-nico-touches-the-walls	25	息をしたくて ここは苦しくて	en,pt-BR,es
diver-nico-touches-the-walls	26	闇を見上げるだけの僕じゃ	en,pt-BR,es
diver-nico-touches-the-walls	27	浮かぶ方法もないダイバー	en,pt-BR,es
diver-nico-touches-the-walls	28	生きているんだって 確かめたいならそう	en,pt-BR,es
diver-nico-touches-the-walls	29	深い海底を目指して もう一度だけ	en,pt-BR,es
